ID,Action Date,Title,Vote,Meeting Body,File #,category,summary,scorer_field,affordable_housing_development_score,tenant_protections_score,homelessness_and_supportive_housing_score,faster_permitting_process_and_bureaucracy_score,land_use_and_zoning_reform_score
849,2024-05-07 00:00:00,"Motion reappointing Morningstar Vancil, term ending March 31, 2026, to the Commission on the Aging Advisory Council.",Aye,Board of Supervisors,240437.0,Non-Housing/NaN,"Reappointment of Morningstar Vancil to Aging Advisory Council until March 31, 2026.","""Non-Housing/NaN"", ""Aye"", ""Motion reappointing Morningstar Vancil, term ending March 31, 2026, to the Commission on the Aging Advisory Council.""",0.0,0.0,0.0,0.0,0.0
850,2024-05-07 00:00:00,"Resolution supporting California State Senate Bill No. 997 (SB 997), introduced by Senate Member Anthony Portantino (SD-25), on January 31, 2024, that would allow students to carry federally approved naloxone hydro-chloride nasal spray (Narcan) and for schools to provide fentanyl test strips to students.",Aye,Board of Supervisors,240446.0,Tenant Protections,Support for SB 997 allowing students to carry Narcan and schools to provide fentanyl test strips.,"""Tenant Protections"", ""Aye"", ""Resolution supporting California State Senate Bill No. 997 (SB 997), introduced by Senate Member Anthony Portantino (SD-25), on January 31, 2024, that would allow students to carry federally approved naloxone hydro-chloride nasal spray (Narcan) and for schools to provide fentanyl test strips to students.""",0.0,"- Reduction in Evictions: This resolution does not directly address evictions, so there is no impact in this area.
- Stabilization of Rent: The resolution does not mention any provisions related to rent stabilization.
- Enhanced Legal Protections: While the resolution does not focus on traditional tenant protections, it does provide legal protections in the form of allowing students to carry naloxone and providing fentanyl test strips, which can be seen as enhancing legal protections in a different context.

Based on the criteria for Tenant Protections, the impact of this resolution would be minimal. Therefore, the score would be around 0.2.",0.0,0.0,0.0
851,2024-05-07 00:00:00,"Resolution recognizing and commemorating the month of May 2024 as Affordable Housing Month in San Francisco; and affirming the City’s commitment to scaling up investments and strategies to produce, preserve, and protect affordable housing.",Aye,Board of Supervisors,240447.0,Affordable Housing Development,"SF recognizes May 2024 as Affordable Housing Month, commits to boosting affordable housing investments and strategies.","""Affordable Housing Development"", ""Aye"", ""Resolution recognizing and commemorating the month of May 2024 as Affordable Housing Month in San Francisco; and affirming the City’s commitment to scaling up investments and strategies to produce, preserve, and protect affordable housing.""",0.8,0.0,0.0,0.0,0.0
852,2024-05-07 00:00:00,"Resolution approving a report of assessment costs submitted by the Director of Public Works for inspection and/or repair of blighted properties ordered through the Accelerated Sidewalk Abatement Program, ordered to be performed by said Director pursuant to the provisions of Administrative Code, Chapter 80, the costs thereof having been paid for out of a blight abatement fund.",Aye,Board of Supervisors,240296.0,Land Use and Zoning Reforms,SF approves assessment costs for blighted property repairs under Sidewalk Abatement Program.,"""Land Use and Zoning Reforms"", ""Aye"", ""Resolution approving a report of assessment costs submitted by the Director of Public Works for inspection and/or repair of blighted properties ordered through the Accelerated Sidewalk Abatement Program, ordered to be performed by said Director pursuant to the provisions of Administrative Code, Chapter 80, the costs thereof having been paid for out of a blight abatement fund.""",0.0,0.0,0.0,0.0,0.4
853,2024-05-07 00:00:00,"Resolution approving a report of assessment costs submitted by the Director of Public Works for sidewalk and curb repairs through the Sidewalk Inspection and Repair Program, ordered to be performed by said Director pursuant to the provisions of Public Works Code, Section 706.9, and Administrative Code, Chapter 80, the costs thereof having been paid for out of a revolving fund.",Aye,Board of Supervisors,240293.0,Land Use and Zoning Reforms,SF approves assessment costs for sidewalk/curb repairs under Sidewalk Inspection and Repair Program.,"""Land Use and Zoning Reforms"", ""Aye"", ""Resolution approving a report of assessment costs submitted by the Director of Public Works for sidewalk and curb repairs through the Sidewalk Inspection and Repair Program, ordered to be performed by said Director pursuant to the provisions of Public Works Code, Section 706.9, and Administrative Code, Chapter 80, the costs thereof having been paid for out of a revolving fund.""",0.0,0.0,0.0,0.0,0.0
854,2024-05-06 00:00:00,"Ordinance amending the Planning Code to modify the 900 Kearny Street Special Use District to allow an enclosed rooftop building addition with a restricted arts activities use; and affirming the Planning Department’s determination under the California Environmental Quality Act, making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and making findings of public necessity, convenience, and welfare pursuant to Planning Code, Section 302.",Aye,Land Use and Transportation Committee,240260.0,Land Use and Zoning Reforms,"SF ordinance amends Planning Code for 900 Kearny St. Special Use District, allowing rooftop addition for arts activities.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Planning Code to modify the 900 Kearny Street Special Use District to allow an enclosed rooftop building addition with a restricted arts activities use; and affirming the Planning Department’s determination under the California Environmental Quality Act, making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and making findings of public necessity, convenience, and welfare pursuant to Planning Code, Section 302.""",0.0,0.0,0.0,0.0,0.4
855,2024-05-06 00:00:00,"Resolution adding the commemorative street name """"Midge Wilson Alley"""" to the 100 Block of Elm Street in recognition of Midge Wilson’s incredible contribution to the children and families in the Tenderloin neighborhood.",Aye,Land Use and Transportation Committee,240349.0,Non-Housing,"""SF honors Midge Wilson with street name in Tenderloin.""","""Non-Housing"", ""Aye"", ""Resolution adding the commemorative street name """"Midge Wilson Alley"""" to the 100 Block of Elm Street in recognition of Midge Wilson’s incredible contribution to the children and families in the Tenderloin neighborhood.""",0.0,0.0,0.0,0.0,0.0
856,2024-05-06 00:00:00,"Ordinance amending the Planning Code to modify the 900 Kearny Street Special Use District to allow an enclosed rooftop building addition with a restricted arts activities use; and affirming the Planning Department’s determination under the California Environmental Quality Act, making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and making findings of public necessity, convenience, and welfare pursuant to Planning Code, Section 302.",Aye,Land Use and Transportation Committee,240260.0,Land Use and Zoning Reforms,"SF ordinance amends Planning Code for 900 Kearny St. Special Use District, allowing rooftop addition for arts activities.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Planning Code to modify the 900 Kearny Street Special Use District to allow an enclosed rooftop building addition with a restricted arts activities use; and affirming the Planning Department’s determination under the California Environmental Quality Act, making findings of consistency with the General Plan and the eight priority policies of Planning Code, Section 101.1, and making findings of public necessity, convenience, and welfare pursuant to Planning Code, Section 302.""",0.0,0.0,0.0,0.0,0.5
857,2024-05-06 00:00:00,"Hearing to receive presentations on the City's concrete plans to finance, underwrite and/or build the Housing Element's stated annual goal of 1,748 Extremely-Low Income (ELI) units, or 13,981 ELI units total over eight years, including concrete financing mechanisms and progress benchmarks; and requesting the Mayor's Office of Housing and Community Development and Department of Disability and Aging Services to report.",Aye,Land Use and Transportation Committee,240243.0,Affordable Housing Development,"SF hearing on financing 13,981 ELI units over 8 years, with progress benchmarks and reports from housing and disability departments.","""Affordable Housing Development"", ""Aye"", ""Hearing to receive presentations on the City's concrete plans to finance, underwrite and/or build the Housing Element's stated annual goal of 1,748 Extremely-Low Income (ELI) units, or 13,981 ELI units total over eight years, including concrete financing mechanisms and progress benchmarks; and requesting the Mayor's Office of Housing and Community Development and Department of Disability and Aging Services to report.""",0.8,0.0,0.0,0.0,0.0
858,2024-04-30 00:00:00,Ordinance amending the Campaign and Governmental Conduct Code to update and clarify the Conflict of Interest Code’s Form 700 (Statement of Economic Interests) filing requirements for “Proposition Q Filers” (Departmental Purchaser Initiators and Approvers); add the Children and Families First Commission and the Enhanced Infrastructure Financing District Public Financing Authority No. 1 to the list of filers who file with the Ethics Commission; and make non-substantive corrections to the Conflict of Interest Code sections for the Department of Public Works and the Public Utilities Commission.,Aye,Board of Supervisors,240016.0,Non-Housing/NaN,"SF updates Form 700 filing rules for ""Proposition Q Filers"" and adds new filers to Ethics Commission list.","""Non-Housing/NaN"", ""Aye"", ""Ordinance amending the Campaign and Governmental Conduct Code to update and clarify the Conflict of Interest Code’s Form 700 (Statement of Economic Interests) filing requirements for “Proposition Q Filers” (Departmental Purchaser Initiators and Approvers); add the Children and Families First Commission and the Enhanced Infrastructure Financing District Public Financing Authority No. 1 to the list of filers who file with the Ethics Commission; and make non-substantive corrections to the Conflict of Interest Code sections for the Department of Public Works and the Public Utilities Commission.""",0.0,0.0,0.0,0.0,0.0
859,2024-04-30 00:00:00,"Ordinance amending the Administrative Code to permit the Assessor to either not enroll on the assessment roll certain property exempt from property taxation due to its low value, or to enroll such property and apply the exemption.",Aye,Board of Supervisors,240161.0,Non-Housing,SF allows Assessor flexibility on low-value property tax exemptions.,"""Non-Housing"", ""Aye"", ""Ordinance amending the Administrative Code to permit the Assessor to either not enroll on the assessment roll certain property exempt from property taxation due to its low value, or to enroll such property and apply the exemption.""",0.0,0.0,0.0,0.0,0.0
860,2024-04-30 00:00:00,"Ordinance amending a Development Agreement between the City and County of San Francisco and Treasure Island Community Development, LLC, a California limited liability company, for the Treasure Island project and to amend the Financing Plan; making findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and with the eight priority policies of Planning Code, Section 101.1(b); and making findings of public necessity, convenience, and welfare under Planning Code, Section 302.",Aye,Board of Supervisors,240198.0,Land Use and Zoning Reforms,"SF amends Treasure Island Development Agreement and Financing Plan, aligning with environmental and planning regulations.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending a Development Agreement between the City and County of San Francisco and Treasure Island Community Development, LLC, a California limited liability company, for the Treasure Island project and to amend the Financing Plan; making findings under the California Environmental Quality Act; making findings of consistency with the General Plan, and with the eight priority policies of Planning Code, Section 101.1(b); and making findings of public necessity, convenience, and welfare under Planning Code, Section 302.""",0.0,0.0,0.0,0.0,0.8
861,2024-04-30 00:00:00,"Ordinance amending the Planning Code to revise the Treasure Island/Yerba Buena Island Special Use District (SUD), to update the Treasure Island Bulk and Massing figure, to make the process for amendments to the Design for Development document more flexible, and to provide for additional circumstances that may authorize Minor Modifications to the standards in the SUD and Design for Development; revising the Zoning Map to change height districts in Treasure Island, to provide for five additional feet in certain areas, and to remove the “Special Height District” designation from two easements adj",Aye,Board of Supervisors,240199.0,Land Use and Zoning Reforms,"SF ordinance updates Treasure Island/Yerba Buena SUD, height districts, and design flexibility for development.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Planning Code to revise the Treasure Island/Yerba Buena Island Special Use District (SUD), to update the Treasure Island Bulk and Massing figure, to make the process for amendments to the Design for Development document more flexible, and to provide for additional circumstances that may authorize Minor Modifications to the standards in the SUD and Design for Development; revising the Zoning Map to change height districts in Treasure Island, to provide for five additional feet in certain areas, and to remove the “Special Height District” designation from two easements adj""",0.0,0.0,0.0,0.0,0.8
862,2024-04-30 00:00:00,"Ordinance authorizing a partial settlement of the lawsuit filed by Aidan Gauper and Cory Maryott against the City and County of San Francisco for $800,000; the lawsuit was filed on April 10, 2023, in San Francisco Superior Court, Case No. CGC-23-605730; entitled Ralph Bower, et al. v. City and County of San Francisco; the lawsuit involves alleged personal injury on a City street.",Aye,Board of Supervisors,240220.0,Non-Housing,"SF authorizes $800,000 settlement for personal injury lawsuit on City street (Case No. CGC-23-605730).","""Non-Housing"", ""Aye"", ""Ordinance authorizing a partial settlement of the lawsuit filed by Aidan Gauper and Cory Maryott against the City and County of San Francisco for $800,000; the lawsuit was filed on April 10, 2023, in San Francisco Superior Court, Case No. CGC-23-605730; entitled Ralph Bower, et al. v. City and County of San Francisco; the lawsuit involves alleged personal injury on a City street.""",0.0,0.0,0.0,0.0,0.0
863,2024-04-30 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Patrick Marks against the City and County of San Francisco for $55,000; the lawsuit was filed on May 19, 2022, in San Francisco Superior Court, Case No. CGC-22-599713; entitled Patrick Marks v. City and County of San Francisco; the lawsuit involves alleged personal injury on a City sidewalk.",Aye,Board of Supervisors,240221.0,Non-Housing,"SF settles lawsuit with Patrick Marks for $55,000 over personal injury on City sidewalk.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Patrick Marks against the City and County of San Francisco for $55,000; the lawsuit was filed on May 19, 2022, in San Francisco Superior Court, Case No. CGC-22-599713; entitled Patrick Marks v. City and County of San Francisco; the lawsuit involves alleged personal injury on a City sidewalk.""",0.0,0.0,0.0,0.0,0.0
864,2024-04-30 00:00:00,"Resolution approving the settlement of the unlitigated claims filed by Sky Cache, Inc. against the City and County of San Francisco for $36,352.50; the claims were filed on April 28, 2023; the claims involve a refund of gross receipts and homelessness gross receipts taxes.",Aye,Board of Supervisors,240224.0,Non-Housing,"SF settles Sky Cache, Inc. claims for $36,352.50 for tax refunds, filed on April 28, 2023.","""Non-Housing"", ""Aye"", ""Resolution approving the settlement of the unlitigated claims filed by Sky Cache, Inc. against the City and County of San Francisco for $36,352.50; the claims were filed on April 28, 2023; the claims involve a refund of gross receipts and homelessness gross receipts taxes.""",0.0,0.0,0.0,0.0,0.0
865,2024-04-30 00:00:00,"Resolution approving the settlement of the unlitigated claim filed by Sonic Telecom, LLC against the City and County of San Francisco for $36,329.54; the claim was filed on September 7, 2022; the claim involves a refund of gross receipts taxes.",Aye,Board of Supervisors,240225.0,Non-Housing/NaN,"SF settles Sonic Telecom claim for $36,329.54 refund of gross receipts taxes.","""Non-Housing/NaN"", ""Aye"", ""Resolution approving the settlement of the unlitigated claim filed by Sonic Telecom, LLC against the City and County of San Francisco for $36,329.54; the claim was filed on September 7, 2022; the claim involves a refund of gross receipts taxes.""",0.0,0.0,0.0,0.0,0.0
866,2024-04-30 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Ralph Harris against the City and County of San Francisco for $400,000; the lawsuit was filed on November 4, 2021, in San Francisco Superior Court, Case No. CGC-21-596449; entitled Ralph Harris v. City of San Francisco, et al.; the lawsuit involves alleged personal injury on a City sidewalk.",Aye,Board of Supervisors,240251.0,Non-Housing,"SF settles lawsuit with Ralph Harris for $400,000 over personal injury on City sidewalk.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Ralph Harris against the City and County of San Francisco for $400,000; the lawsuit was filed on November 4, 2021, in San Francisco Superior Court, Case No. CGC-21-596449; entitled Ralph Harris v. City of San Francisco, et al.; the lawsuit involves alleged personal injury on a City sidewalk.""",0.0,0.0,0.0,0.0,0.0
867,2024-04-30 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Debra M. Hoisch against the City and County of San Francisco for $157,500; the lawsuit was filed on May 3, 2022, in San Francisco Superior Court, Case No. CGC-22-599474; entitled Debra M. Hoisch v. City and County of San Francisco; the lawsuit involves a trip and fall on a City Street.",Aye,Board of Supervisors,240252.0,Non-Housing,"SF settles lawsuit with Debra M. Hoisch for $157,500 over trip and fall incident on City Street.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Debra M. Hoisch against the City and County of San Francisco for $157,500; the lawsuit was filed on May 3, 2022, in San Francisco Superior Court, Case No. CGC-22-599474; entitled Debra M. Hoisch v. City and County of San Francisco; the lawsuit involves a trip and fall on a City Street.""",0.0,0.0,0.0,0.0,0.0
868,2024-04-30 00:00:00,"Ordinance authorizing settlement of the lawsuit filed by Elijah Williams against the City and County of San Francisco for $37,500; the lawsuit was filed on June 28, 2022, in San Francisco Superior Court, Case No. CGC-22-600440; entitled Elijah Williams, a Minor, By And Through His Guardian Ad Litem Ann Precilla Luyon v. City and County of San Francisco, et al.; the lawsuit involves an alleged personal injury caused by an alleged dangerous condition of public property.",Aye,Board of Supervisors,240282.0,Non-Housing,"SF settles lawsuit with Elijah Williams for $37,500 over alleged injury from public property.","""Non-Housing"", ""Aye"", ""Ordinance authorizing settlement of the lawsuit filed by Elijah Williams against the City and County of San Francisco for $37,500; the lawsuit was filed on June 28, 2022, in San Francisco Superior Court, Case No. CGC-22-600440; entitled Elijah Williams, a Minor, By And Through His Guardian Ad Litem Ann Precilla Luyon v. City and County of San Francisco, et al.; the lawsuit involves an alleged personal injury caused by an alleged dangerous condition of public property.""",0.0,0.0,0.0,0.0,0.0
869,2024-04-30 00:00:00,"Resolution approving the settlement of the unlitigated claim filed by Mathias Salle against the City and County of San Francisco for $58,986; the claim was filed on March 6, 2023; the claim involves property damage arising from flooding alleged to be caused by a water main rupture.",Aye,Board of Supervisors,240284.0,Non-Housing/NaN,"SF settles $58,986 claim by Mathias Salle for property damage from water main rupture.","""Non-Housing/NaN"", ""Aye"", ""Resolution approving the settlement of the unlitigated claim filed by Mathias Salle against the City and County of San Francisco for $58,986; the claim was filed on March 6, 2023; the claim involves property damage arising from flooding alleged to be caused by a water main rupture.""",0.0,0.0,0.0,0.0,0.0
870,2024-04-30 00:00:00,"Resolution approving the settlement of the unlitigated claim by the City and County of San Francisco (“City”) against 333 Valencia Owner, L.L.C. (“Landlord”), requiring Landlord to provide the City additional storage space and a rent credit of $50,000; the claim involves a dispute between the City and Landlord about building systems located inside closets that limited the amount of space available for storage by the City.",Aye,Board of Supervisors,240283.0,Tenant Protections,"SF settles claim with 333 Valencia Owner, L.L.C., for extra storage space and $50,000 rent credit.","""Tenant Protections"", ""Aye"", ""Resolution approving the settlement of the unlitigated claim by the City and County of San Francisco (“City”) against 333 Valencia Owner, L.L.C. (“Landlord”), requiring Landlord to provide the City additional storage space and a rent credit of $50,000; the claim involves a dispute between the City and Landlord about building systems located inside closets that limited the amount of space available for storage by the City.""",0.0,0.8,0.0,0.0,0.0
871,2024-04-30 00:00:00,"Ordinance amending the Public Works Code to streamline the enforcement of vending requirements and restrictions, clarify vending permit application and compliance requirements, require certain vending permittees to register with the Tax Collector and pay related fees, prohibit stationary sidewalk vendors from vending in residential districts as defined in the Planning Code, limit permissible vending times, and streamline approval of vending regulations; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Board of Supervisors,240056.0,Land Use and Zoning Reforms,"SF ordinance streamlines vending rules, clarifies permits, restricts residential vending, and affirms environmental review.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Public Works Code to streamline the enforcement of vending requirements and restrictions, clarify vending permit application and compliance requirements, require certain vending permittees to register with the Tax Collector and pay related fees, prohibit stationary sidewalk vendors from vending in residential districts as defined in the Planning Code, limit permissible vending times, and streamline approval of vending regulations; and affirming the Planning Department’s determination under the California Environmental Quality Act.""",0.0,0.0,0.0,0.0,0.5
872,2024-04-30 00:00:00,"Ordinance amending the Public Works Code to streamline the enforcement of vending requirements and restrictions, clarify vending permit application and compliance requirements, require certain vending permittees to register with the Tax Collector and pay related fees, prohibit stationary sidewalk vendors from vending in residential districts as defined in the Planning Code, limit permissible vending times, and streamline approval of vending regulations; and affirming the Planning Department’s determination under the California Environmental Quality Act.",Aye,Board of Supervisors,240439.0,Land Use and Zoning Reforms,"SF ordinance streamlines vending rules, clarifies permits, restricts residential vending, and affirms environmental review.","""Land Use and Zoning Reforms"", ""Aye"", ""Ordinance amending the Public Works Code to streamline the enforcement of vending requirements and restrictions, clarify vending permit application and compliance requirements, require certain vending permittees to register with the Tax Collector and pay related fees, prohibit stationary sidewalk vendors from vending in residential districts as defined in the Planning Code, limit permissible vending times, and streamline approval of vending regulations; and affirming the Planning Department’s determination under the California Environmental Quality Act.""",0.0,0.0,0.0,0.0,0.5
873,2024-04-30 00:00:00,"Ordinance amending the Administrative Code to provide that the general obligation bond passthrough from landlords to tenants shall be calculated based on the amount the property tax rate has increased due to general obligation bonds since the tenant’s move-in date or 2005, whichever is later; and to allow tenants to seek relief from general obligation bond passthroughs based on financial hardship.",Aye,Board of Supervisors,240174.0,Tenant Protections,"SF ordinance adjusts tenant bond passthroughs based on tax rate increases since move-in or 2005, offers relief for financial hardship.","""Tenant Protections"", ""Aye"", ""Ordinance amending the Administrative Code to provide that the general obligation bond passthrough from landlords to tenants shall be calculated based on the amount the property tax rate has increased due to general obligation bonds since the tenant’s move-in date or 2005, whichever is later; and to allow tenants to seek relief from general obligation bond passthroughs based on financial hardship.""",0.0,0.8,0.0,0.0,0.0
874,2024-04-30 00:00:00,"Ordinance amending the Administrative Code to require Departments seeking Board of Supervisors approval to enter into a contract for emergency repairs to provide an estimated cost of the proposed emergency work, and upon completion of the repairs, a summary of the actual cost.",Aye,Board of Supervisors,240227.0,Permitting Process and Bureaucratic Efficiency,SF ordinance mandates cost estimates for emergency repairs contracts.,"""Permitting Process and Bureaucratic Efficiency"", ""Aye"", ""Ordinance amending the Administrative Code to require Departments seeking Board of Supervisors approval to enter into a contract for emergency repairs to provide an estimated cost of the proposed emergency work, and upon completion of the repairs, a summary of the actual cost.""",0.0,0.0,0.0,0.5,0.0
875,2024-04-30 00:00:00,"Resolution retroactively authorizing the Police Department to accept and expend an in-kind gift of 900 units of Naloxone valued at $48,750 through the Naloxone Distribution Project, which is funded by the Substance Abuse and Mental Health Services Administration and administered by the Department of Health Care Services.",Aye,Board of Supervisors,230815.0,Non-Housing,"SF authorizes Police Dept. to accept 900 Naloxone units worth $48,750 for Substance Abuse Project.","""Non-Housing"", ""Aye"", ""Resolution retroactively authorizing the Police Department to accept and expend an in-kind gift of 900 units of Naloxone valued at $48,750 through the Naloxone Distribution Project, which is funded by the Substance Abuse and Mental Health Services Administration and administered by the Department of Health Care Services.""",0.0,0.0,0.0,0.0,0.0
876,2024-04-30 00:00:00,"Resolution retroactively authorizing the Police Department to accept and expend a grant in the amount of $70,549 from the California Governor's Office of Emergency Services for the Paul Coverdell Forensic Science Improvement Program, to train and procure equipment for the Criminology Laboratory, with the project period beginning on April 1, 2023, through June 30, 2024.",Aye,Board of Supervisors,240334.0,Non-Housing,"SF authorizes $70,549 grant for Police Dept. forensic training/equipment from CA Governor's Office of Emergency Services.","""Non-Housing"", ""Aye"", ""Resolution retroactively authorizing the Police Department to accept and expend a grant in the amount of $70,549 from the California Governor's Office of Emergency Services for the Paul Coverdell Forensic Science Improvement Program, to train and procure equipment for the Criminology Laboratory, with the project period beginning on April 1, 2023, through June 30, 2024.""",0.0,0.0,0.0,0.0,0.0
877,2024-04-30 00:00:00,"Resolution approving the Terminal 2 Coffee Café Lease No.23-0197, between Guava and Java SFO, Inc. dba Black Point Café and La Colombe Coffee Roasters and the City and County of San Francisco, acting by and through its Airport Commission, for a term of 12 years with two one-year options to extend at the sole discretion of the Airport Commission, and a minimum annual guarantee of $420,000 for the first year of the lease, effective upon approval of this Resolution.",Aye,Board of Supervisors,230966.0,Non-Housing,"SF approves 12-year lease for Black Point Café and La Colombe Coffee Roasters at SFO Terminal 2 with $420,000 annual guarantee.","""Non-Housing"", ""Aye"", ""Resolution approving the Terminal 2 Coffee Café Lease No.23-0197, between Guava and Java SFO, Inc. dba Black Point Café and La Colombe Coffee Roasters and the City and County of San Francisco, acting by and through its Airport Commission, for a term of 12 years with two one-year options to extend at the sole discretion of the Airport Commission, and a minimum annual guarantee of $420,000 for the first year of the lease, effective upon approval of this Resolution.""",0.0,0.0,0.0,0.0,0.0
878,2024-04-30 00:00:00,"Resolution authorizing the Airport Commission to accept and expend a grant in an amount not to exceed $90,972,120 and any additional amounts up to 15% of the original grant, that may be offered from the Federal Aviation Administration for the implementation of the Recycled Water System Project, for the period of October 1, 2023, through September 30, 2028, contingent on receipt by the Airport Commission of a grant offer from the Federal Aviation Administration.",Aye,Board of Supervisors,240236.0,Non-Housing,"SF Airport Commission authorized $90.97M FAA grant for Recycled Water System Project, with potential additional 15% funding.","""Non-Housing"", ""Aye"", ""Resolution authorizing the Airport Commission to accept and expend a grant in an amount not to exceed $90,972,120 and any additional amounts up to 15% of the original grant, that may be offered from the Federal Aviation Administration for the implementation of the Recycled Water System Project, for the period of October 1, 2023, through September 30, 2028, contingent on receipt by the Airport Commission of a grant offer from the Federal Aviation Administration.""",0.0,0.0,0.0,0.0,0.0
879,2024-04-30 00:00:00,"Resolution retroactively authorizing the Police Department to accept and expend a grant in the amount of $1,407,675.74 from the California Board of State and Community Corrections Officer Wellness and Mental Health Grant Program to improve officer wellness and expand mental health sources for our sworn members with the project period beginning on July 1, 2022, through December 1, 2025.",Aye,Board of Supervisors,231083.0,Non-Housing,SF authorizes $1.4M grant for police wellness and mental health program.,"""Non-Housing"", ""Aye"", ""Resolution retroactively authorizing the Police Department to accept and expend a grant in the amount of $1,407,675.74 from the California Board of State and Community Corrections Officer Wellness and Mental Health Grant Program to improve officer wellness and expand mental health sources for our sworn members with the project period beginning on July 1, 2022, through December 1, 2025.""",0.0,0.0,0.0,0.0,0.0
880,2024-04-30 00:00:00,"Resolution establishing the appropriations limit established at $11,678,040,780 for Fiscal Year (FY) 2023-2024 pursuant to California Constitution, Article XIII B, due to the addition of local non-residential new construction and the percent change in population within the San Francisco Metropolitan Area from the previous year for the purpose of computation of its Appropriations Limit.",Aye,Board of Supervisors,240155.0,Non-Housing/NaN,SF FY 2023-2024 appropriations limit set at $11.68B due to new construction and population change.,"""Non-Housing/NaN"", ""Aye"", ""Resolution establishing the appropriations limit established at $11,678,040,780 for Fiscal Year (FY) 2023-2024 pursuant to California Constitution, Article XIII B, due to the addition of local non-residential new construction and the percent change in population within the San Francisco Metropolitan Area from the previous year for the purpose of computation of its Appropriations Limit.""",0.0,0.0,0.0,0.0,0.0
881,2024-04-30 00:00:00,"Resolution exempting from the competitive bidding policy set forth in Administrative Code, Section 2.6-1, the potential lease on a portion of the east end of Sea Wall Lot (SWL) 301, with SkyStar Wheel, LLC, for the continued operation of an observation wheel; and adopting environmental findings under the California Environmental Quality Act.",Aye,Board of Supervisors,240258.0,Land Use and Zoning Reforms,"SF exempts competitive bidding for SkyStar Wheel lease on SWL 301 east end, with environmental findings.","""Land Use and Zoning Reforms"", ""Aye"", ""Resolution exempting from the competitive bidding policy set forth in Administrative Code, Section 2.6-1, the potential lease on a portion of the east end of Sea Wall Lot (SWL) 301, with SkyStar Wheel, LLC, for the continued operation of an observation wheel; and adopting environmental findings under the California Environmental Quality Act.""",0.0,0.0,0.0,0.0,0.4
882,2024-04-30 00:00:00,"Resolution approving Amendment No. 3 to the agreement between Bayview Hunters Point Foundation and the Department of Public Health (DPH), for substance use disorder services; to increase the agreement by $3,838,048 for a total amount not to exceed $15,438,048; to extend the term by eighteen months from June 30, 2024, for a total agreement term of July 1, 2017, through December 31, 2025; and to authorize DPH to enter into amendments or modifications to the contract prior to its final execution by all parties that do not materially increase the obligations or liabilities to the City and are nece",Aye,Board of Supervisors,240286.0,Homelessness and Supportive Housing,"Increase in substance use disorder services funding by $3.8M, extending agreement term to Dec 2025 for Bayview Hunters Point Foundation.","""Homelessness and Supportive Housing"", ""Aye"", ""Resolution approving Amendment No. 3 to the agreement between Bayview Hunters Point Foundation and the Department of Public Health (DPH), for substance use disorder services; to increase the agreement by $3,838,048 for a total amount not to exceed $15,438,048; to extend the term by eighteen months from June 30, 2024, for a total agreement term of July 1, 2017, through December 31, 2025; and to authorize DPH to enter into amendments or modifications to the contract prior to its final execution by all parties that do not materially increase the obligations or liabilities to the City and are nece""",0.0,0.0,0.8,0.0,0.0
883,2024-04-30 00:00:00,"Resolution retroactively approving Amendment No. 2 to the agreement between The Regents of the University of California and the Department of Public Health, for behavioral health services for high-risk transitional-aged youth, adults, and older adults, to increase the agreement by $84,121,542 for an amount not to exceed $133,397,493; to extend the term by five and one-half years from December 31, 2022, for a total agreement term of July 1, 2018, through June 30, 2028; and to authorize the Department of Public Health to enter into amendments or modifications to the contract prior to its final e",Aye,Board of Supervisors,240287.0,Homelessness and Supportive Housing,"SF approves $84M+ for behavioral health services, extends term to 2028.","""Homelessness and Supportive Housing"", ""Aye"", ""Resolution retroactively approving Amendment No. 2 to the agreement between The Regents of the University of California and the Department of Public Health, for behavioral health services for high-risk transitional-aged youth, adults, and older adults, to increase the agreement by $84,121,542 for an amount not to exceed $133,397,493; to extend the term by five and one-half years from December 31, 2022, for a total agreement term of July 1, 2018, through June 30, 2028; and to authorize the Department of Public Health to enter into amendments or modifications to the contract prior to its final e""",0.0,0.0,0.8,0.0,0.0
